                      protein  distance
90                     4YZ1_A 1.4902629
91                     4ZGH_A 1.4601774
92                     4ZMR_A 2.0121022
93                     5AOD_A 1.6900153
94                     5AOE_A 1.5637314
95                     5AOF_A 1.7234369
96                     5CR6_D 1.6270946
97                     5CR8_A 2.1874916
98                     5CTV_A 1.7250089
99                     5J5P_A 1.3513182
100                    5KKY_A 1.4404309
101                    5LY6_B 2.4906116
102                    5WI5_A 1.4796350
103                    5XU0_A 1.2667949
104                    5XU1_A 1.3034557
105                    5XU1_M 1.5128933
106                    5YIG_A 1.9964722
107                    6EB7_A 2.3220883
108                    6FMG_A 1.5450402
109                    6HE6_A 2.0701688
110                    6HFX_A 1.8633407
111                    6JMP_A 1.6908681
112                    6JYX_A 1.1002585
113                    6MK7_A 2.3061876
114                    6PON_A 1.6177083
115                    6PQL_A 0.9905899
116                    6Z4W_A 1.9358669
117                    6Z63_A 1.4504310
118                    7A54_A 1.8923003
119                    7JJ8_A 1.4888585
120                    7JJ9_A 1.3946853
121                    7JJA_A 1.7445760
122                    7PL2_A 1.7757918
123                    7T2A_C 1.3879884
124                    8HF4_A 1.7339383
125                    8HF6_A 1.6194033
126 AF-A0A0B7KV51-F1-model_v6 1.6512883
127 AF-A0A0B7KZH3-F1-model_v6 1.4287386
128 AF-A0A0B7L047-F1-model_v6 1.7072034
129 AF-A0A0B7L2C4-F1-model_v6 2.1731164
130 AF-A0A0B7LC21-F1-model_v6 2.1438488
131 AF-A0A0B7LCH0-F1-model_v6 2.3729724
132 AF-A0A0B7LIE2-F1-model_v6 1.4924113
133 AF-A0A0E8ZM54-F1-model_v6 1.8557804
134 AF-A0A0H2UN20-F1-model_v6 1.9682935
135 AF-A0A0H2UND3-F1-model_v6 2.1010385
136 AF-A0A0H2UNX8-F1-model_v6 1.7317765
137 AF-A0A0H2ZM30-F1-model_v6 2.2048105
138 AF-A0A0H2ZNX2-F1-model_v6 1.6072420
139 AF-A0A0T8G4V9-F1-model_v6 1.7825553
140 AF-A0A1H1R4D7-F1-model_v6 1.6273878
141 AF-A0A237JKZ5-F1-model_v6 1.4730052
142 AF-A0A2X3V8L4-F1-model_v6 1.8682694
143 AF-A0A3A4S4J8-F1-model_v6 1.3824433
144 AF-A0A3R9M168-F1-model_v6 2.2001905
145 AF-A0A4J1UGG0-F1-model_v6 2.1177830
146 AF-A0A4J1UII4-F1-model_v6 1.8590955
147 AF-A0A4J1VGK4-F1-model_v6 2.0651932
148 AF-A0A4J1VSB1-F1-model_v6 2.2215280
149 AF-A0A4J1VZA0-F1-model_v6 1.2977369
150 AF-A0A4J1WF80-F1-model_v6 1.3396854
151 AF-A0A4J1WRN7-F1-model_v6 1.7994550
152 AF-A0A4J1WWI9-F1-model_v6 1.8884506
153 AF-A0A4J1WXG5-F1-model_v6 1.3251712
154 AF-A0A4L7JIJ9-F1-model_v6 2.0529749
155 AF-A0A4L7JNS5-F1-model_v6 1.3990266
156 AF-A0A4R3L5A4-F1-model_v6 2.9028579
157 AF-A0A6I3UCE5-F1-model_v6 1.4035833
158 AF-A0A916L5M1-F1-model_v6 3.1456665
159 AF-A0AA89KWM9-F1-model_v6 2.3198440
160 AF-A0AAE6YR42-F1-model_v6 1.8828109
161 AF-A0AAI9A065-F1-model_v6 1.5143924
162 AF-A0AAJ5P3Y6-F1-model_v6 1.6634339
163 AF-A0AAJ5P5J3-F1-model_v6 1.7627781
164 AF-A0AAW5WQ32-F1-model_v6 1.5289133
165 AF-A0AAW6XTF7-F1-model_v6 1.4283106
166     AF-B2ISJ9-F1-model_v6 2.2361974
167     AF-C1C6U9-F1-model_v6 1.3325731
168     AF-C1C8J0-F1-model_v6 1.6077953
169     AF-C1C8P0-F1-model_v6 2.4684857
170     AF-C1CAB1-F1-model_v6 1.3073788
171     AF-C1CD75-F1-model_v6 1.9718130
172     AF-G3GGL5-F1-model_v6 2.1233239
173     AF-G3GGT8-F1-model_v6 1.3332529
